address,pubkey,value
127LhEs3CGBvkmPx5zP1BPT8L9sMDaSQud,,1004500000
127NwBWGkYigDLFcivfVA3Yg8J8CSn5BRc,,5325670000
127Q1iMAc8H92A5ZyXgr9T1NaXheLJ67At,,1009400000
127Sxea2WxKZaf5DXf4xgjuZaHDez1Moci,,409904000000
127T75pfeNoQ3J1gwDwzCQDWmTR6LXveQw,,5597400000
127WnjhH9awLXqNZcLQiykbnjLkemFtfdS,,302000000
127X5CNEqdN9He121iNdRJdG8H2z1oCCHJ,,200760000
127Y8AnqfWMSA5oMVt2YTbwu5HQsy6tXWi,,2800000
127cC9QyX9MjYEBvZqMtQq56aHHUyoVdmM,,1006600000
127gs6UPrKarncLF9PFmYUrwZUrXvwsu5x,,1004500000
127zBTKAZxLYNNpxqp1HyvEp35LsNM6Kjr,,105000000
128161JMVJjdjX7tjqdJZXQ3DGaWfmP9RU,,140691600000
1285iNn68V2oXxKtqYPMpjBuZsMinrbrhH,,1005900000
128B8YPWNDam7Ydk4FyY8Ymoa8wkaR4zYV,,1004500000
128D9Zgx1ZeN9tc3MDeUQMVm3cXYEtQoFf,,132000000
128LGnNYFbJzKRU6BenNiFJvxhVEK8CbSt,,432297960000
128bPxUEYZidWqLpp7fkiJ7ZdCQJiqaQAB,,1006600000
128jiQA1nWR4DCm2K8iwGzgJxKj39N2VDX,,3000000000
128qXa6YMHCXSu4gUXjo7kK5tLbRX8EYkV,,890000
128r2suUUc3ZAgfhTKjQFGhDrbYR5eD268,,1007300000
128rkmUF8KRQcvoiPQBKpN7uZJ3YqmJMJz,,1005200000
128sPcZzntxutcBGeivoA2JkV6hkwa71gq,,4000000
1291Udo2qyckF4wgvDQmhU19fsjVf88MrY,,33770000
1293uJRz1KATtH4CrGyPn9Qgxsb9Sqax91,,350000000
1298YFspV8oLCjyDH27KbisWbNYNUMShax,,178360000
1299RZc8epJ6jFDKa5FGeg7kgWh5KQ3Vxa,,3010500000
129Pr7Du6xZAYMkdf5yjes1togBT3yaiKK,,1006600000
129heLR7c4A5GBvnDekxE5d52GNUTbterD,,11717368000
129nSqtTNUL4ifkPbyaAAKzqd6N6wVfZRJ,,211078360000
129nfv9aCGnqcEBL2RzbdzjV93DzraqiGc,,1008000000
129rxh8rDieQMT6Bo94pCqFy6pGQR7CYdV,,1004500000
129urZH5oJQQ84vcbLAoTfy6fTZawA5nBs,,1004500000
129veDVvCiCjEXxEJ75Kf6bnb9go6Lk8yt,,800000
129wgRN62cB5ZixpbbLnXKLHMcBKRefZwH,,25915800000
129x7FcWMQYtfTuzHi4ACDvV8KB5KN94zL,,680000
129ybFZEVLRnsNq9quRicXPWhm6EcsRWip,,107597100000
12A4N6VRU6tcRUBCm3HuEriqJPWrjcJPdx,,102000000
12A7qPx4CbNxMZ4Jdfns3kkDHaNchqpNog,,1061930000
12ADAN7guARi77spM2ir5m2tDqHkixsVFR,,32779450000
12ADeWpJxwVHBrENKwY7XvtJgji4V27NDL,,1004500000
12AEEYoMEd8WX4KM4DTcVzi9nPQRcamu2n,,1000000
12ANq2XgKDwpWkoeAiJqfKAebU8KNrjDW5,,800000
12AREN2QFKiEcnBxWXjVYZfXpMSehRW2fJ,,1004500000
12AVFzMmh9qKbgsWc4FKFfM4fvJbEandhZ,,1004500000
12AY8qdyhcwGq4bv3uwLFbmV5DZKDbipqL,,1004500000
12AaHtXZJG4Ypv9mbMcuo1j88S5T2B6axY,,1004500000
12Acc6HJuTUnuFmcR5qd1hQNx6Cm6wXYqp,,2280370000
12AeoddoXtc8Xt71MTNwPNpVYyhxk5NGb7,,1005200000
12AiXEJKZ4PLwzopwSkgMZ1Xsp4ik7oYRe,,1004500000
12Am8Tsn9hVzfKHi5cvtFdeCnDcZC73Svd,,1008700000
12AtQMayZ7XV6iC8Y3XURjuUrfSkxSTcXc,,250000000
12Az4UhfXuw5NcFZputtkjCjWBVprdSQHt,,259160440000
12AzF6nMZ7qGsVosWnyrw7xm23atYSHZed,,1025650000
12B2XpLvLBkwMeNQgL7fJaLBbY8AcWuEPM,,1004500000
12B6GSHbGFEubU1ocD4bXCTHyDvf4ShSgV,,290056680000
12B87AJ13Yn63Gp52LkJ8Bnfs4yoBi9WD3,,1004500000
12B9RK9BDZ713zM2Z67pUY9SorLvDmzt4X,,3094520000
12BCLc9aR4cwsknvq3SxDUUQ1bv8D4KP35,,98000000
12BCqNMd2awnMEcnzYkkkpg5ugqQJDpf8X,,34000000
12BEvxXgGTFfMCxxAykXV2aMmYZLkg2Efd,,1013600000
12BFwfnTjdVHqPc88WEA2orMtPE72p2bUM,,124000000
12BGjnjcW27ATdZEv3ZEhJNx4vVJvpmLhm,,700000
12BRvqW4TsyjM8ocmDnZvDscuH4piqNkSZ,,1164530000
12BdCLsMwqNTqxTB5FWscJZyLwGFNh95Zv,,850532600000
12BeGevogF3UysE19dsgcWc8LnDzvhz178,,1004500000
12C3cujMGM7Q1euuts6kWEnKDMLttBzEWU,,1004500000
12C3zDovGuZgjwo44MFNKX75qCDfKmjcAf,,1061190000
12C6hyAnJCLtYBe6H3BKGQC7TsvbTrQU1t,,1006600000
12C9YKHvztbJfTKnZUV5iRVUPGDvuUaxx4,,390000000
12CB189XHbsFcxGf4Caxd8bXs6aVY7P1rs,,2800000
12CByvFp6TWZZpV9Vyv18sznq3FGEbx3Jq,,1004500000
12CZGh2YuHZ1sa7hd2uqKy3VyWTpcuptkR,,834200000
12CbFkJpfABv82kZ5SwjrCteNuVZbedBwH,,27928000
12CukdYYGsAibPqp2xuwXoFhFJm3Td8qoL,,482000000
12CwScJG34er72ewsDS4UvyST4qJ92moDA,,1004500000
12CyAvptD3nYstEWJysW7p58ZyQoP2KVWG,,59000000
12CyjNwMYy7tNQVrpc1NLbvpGYfGETHxdz,,47000000
12D3YYJLara4UVshw3xqL2HALaWm4r1Lpd,,1005200000
12DCFvHLGihmF2qbRRbEt4TBU3o3pFBNf8,,1988000000
12DGVeFgGJi5yhQhErtbAPy5Xmv6zEGH2b,,2800000
12DMA1Z31fWrdjgWsXwvP23UUf632RBTHe,,386000000
12DPyFz7ay93Y44EfM1TyfUNvrMMEAXcE6,,107810547000
12DRH3yCHnYK1nFCGpDUA3Tknkmr8sooD1,,206183340000
12DY1CLfGVEjf7idmyB1CZnWooMv4gaLQF,,17000000000
